"query","ground truth answer","video","time"
"During what age ranges can growth modification typically occur for girls and boys?","Growth modification is generally possible between ages 8 to 13 for girls and 10 to 15 for boys.","Orthodontics ｜ Comprehensive Treatment & Appliances ｜ INBDE, ADAT","00:01:29"
"What is the primary function of headgear in orthodontics and what is the recommended daily wear time?","Headgear is used to restrain forward maxillary growth and should ideally be worn 12 to 14 hours per day to be effective.","Orthodontics ｜ Comprehensive Treatment & Appliances ｜ INBDE, ADAT","00:02:07"
"How do functional appliances like the Bionator correct Class II malocclusions?","They posture the mandible forward, creating a stretch in the facial muscles and soft tissues that modifies growth at the condyles.","Orthodontics ｜ Comprehensive Treatment & Appliances ｜ INBDE, ADAT","00:08:31"
"What are the three levels of aesthetics considered in the soft tissue paradigm of orthodontics?","The soft tissue paradigm focuses on macroesthetics (the face), miniesthetics (the smile), and microesthetics (the teeth).","Orthodontics ｜ Diagnosis & Treatment Planning ｜ INBDE, ADAT","00:01:12"
"How is an Angle Class I malocclusion defined?","It features a normal Class I molar relationship (mesiobuccal cusp of the maxillary first molar occludes with the mesiobuccal groove of the mandibular first molar) but with teeth that are not aligned along the line of occlusion due to crowding, spacing, or rotations.","Orthodontics ｜ Diagnosis & Treatment Planning ｜ INBDE, ADAT","00:05:03"
"What is the difference between overjet and overbite, and what are their normal ranges?","Overjet is the horizontal overlap of incisors, typically 2 to 3 millimeters, while overbite is the vertical overlap, typically 1 to 2 millimeters.","Orthodontics ｜ Diagnosis & Treatment Planning ｜ INBDE, ADAT","00:07:27"
"Distinguish between 'growth' and 'development' in an orthodontic context.","Growth refers to a quantitative increase in size or number (hypertrophy or hyperplasia), whereas development refers to a qualitative increase in complexity or specialization of functions.","Orthodontics ｜ Growth & Development ｜ INBDE, ADAT","00:01:08"
"Explain the cephalocaudal growth gradient and its impact on the maxilla and mandible.","The gradient states that body parts closer to the cranium grow faster earlier; consequently, the maxilla (closer to the cranium) matures earlier than the mandible.","Orthodontics ｜ Growth & Development ｜ INBDE, ADAT","00:02:12"
"According to Scammons' growth curves, how do neural and lymphoid tissues develop relative to adult size?","Neural tissues reach near adult size by age 6 or 7, while lymphoid tissues reach twice their adult size by age 10 and then involute (shrink) during the pubertal growth spurt.","Orthodontics ｜ Growth & Development ｜ INBDE, ADAT","00:04:41"
"Where is the center of resistance typically located for a healthy tooth?","For a healthy tooth, the center of resistance is generally located about halfway between the alveolar crest and the root apex (roughly the center of the root portion embedded in bone).","Orthodontics ｜ Mechanical Principles of Tooth Movement ｜ INBDE, ADAT","00:02:21"
"How is the moment of a force defined and calculated in orthodontic biomechanics?","The moment of a force is the tendency of that force to cause a body to rotate about a specific axis; it is calculated as the magnitude of the force multiplied by the perpendicular distance (D) from the center of resistance (M = F x D).","Orthodontics ｜ Mechanical Principles of Tooth Movement ｜ INBDE, ADAT","00:06:59"
"What is a 'couple' in orthodontics and what type of tooth movement does it produce?","A couple consists of two parallel forces that are equal in magnitude, opposite in direction, and non-colinear; it produces pure rotation (a pure moment) around the center of resistance.","Orthodontics ｜ Mechanical Principles of Tooth Movement ｜ INBDE, ADAT","00:09:29"
"By what types of ossification does the mandible grow?","The mandible grows by both intramembranous ossification (forming the corpus and ramus) and endochondral ossification (at the condylar cartilage).","Orthodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:02:42"
"What are the effects of Class III elastics on the maxillary first molar?","Class III elastics apply a mesial and extrusive force to the maxillary first molar as they pull from the lower canine to the upper first molar.","Orthodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:07:31"
"If a child has a 'distal step' in their primary dentition, what molar relationship is most likely to develop in the permanent dentition?","A distal step in the primary dentition is almost 100% likely to develop into a Class II molar relationship in the permanent dentition.","Orthodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:15:37"
"What is the absolute minimum duration of force required per day to achieve orthodontic tooth movement, and why?","A minimum of 4 to 8 hours per day is required because it takes about 4 hours of sustained light force to increase cyclic AMP levels, which triggers the necessary cell differentiation.","Orthodontic Tooth Movement- Biomechanics- Duration","00:00:28"
"Contrast continuous and interrupted force in orthodontic treatment.","Continuous force maintains a relatively steady (though decaying) level over time, while interrupted force drops to zero magnitude between treatment activations.","Orthodontic Tooth Movement- Biomechanics- Duration","00:01:31"
"Why is an 'interrupted' force model preferred when using heavy orthodontic forces?","Interrupted force allows the periodontal ligament (PDL) time to repair itself after a period of undermining resorption, which helps prevent unnecessary pain and tissue damage that would occur with continuous heavy force.","Orthodontic Tooth Movement- Biomechanics- Duration","00:04:02"
"What defines uncontrolled tipping in terms of the center of rotation?","In uncontrolled tipping, the center of rotation is located exactly at the tooth's center of resistance.","Orthodontic Tooth Movement- Biomechanics- Types of Movement","00:02:23"
"Where is the center of rotation located during 'controlled' tipping?","In controlled tipping, the center of rotation is moved apically to the root apex, allowing the crown to move while keeping the root tip stationary.","Orthodontic Tooth Movement- Biomechanics- Types of Movement","00:05:31"
"What MC/MF ratio is required for bodily movement, and what is the resulting motion?","A ratio of 1 (where the moment of the couple equals the moment of the force) is required for bodily movement, resulting in the crown and root moving the same amount in the same direction.","Orthodontic Tooth Movement- Biomechanics- Types of Movement","00:09:54"
"What type of studies are at the top of the hierarchy of evidence in dentistry?","Meta-analyses and systematic reviews are at the top of the hierarchy of evidence.","Patient Management ｜ Evidence-Based Dentistry ｜ INBDE, ADAT","00:00:55"
"Define a 'case control' study design.","A case control study is a retrospective longitudinal study that compares people with a condition (cases) to those without it (controls) to determine the odds ratio of association with a risk factor.","Patient Management ｜ Evidence-Based Dentistry ｜ INBDE, ADAT","00:05:58"
"How do randomized clinical trials minimize bias?","They use randomization in both the selection of participants and their allocation into treatment groups to minimize selection bias and control for confounding variables.","Patient Management ｜ Evidence-Based Dentistry ｜ INBDE, ADAT","00:09:51"
"Which ADA ethical principle covers a patient's right to confidentiality and self-determination?","The principle of 'patient autonomy' states that a dentist has a duty to respect the patient's right to self-determination and confidentiality.","Patient Management ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:02:11"
"Explain the technique of systematic desensitization for a dental patient.","Systematic desensitization, or graded exposure, involves exposing a patient to a hierarchy of feared stimuli, starting with less manageable items and building up to more feared ones to pair a relaxation response with the stimulus.","Patient Management ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:37:48"
"What is a PPO in the context of dental insurance?","A PPO (Preferred Provider Organization) is an arrangement where a panel of dentists agrees to accept lower-than-usual fees in exchange for a higher volume of patients, as subscribers have financial incentives to use these providers.","Patient Management ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:23:32"
"From what structure do all primary teeth and permanent molars arise during development?","All primary teeth and permanent molars arise directly from the dental lamina.","Pediatric Dentistry ｜ Tooth Development and Eruption ｜ INBDE, ADAT","00:05:05"
"What two critical processes occur during the 'bell stage' of tooth development?","The bell stage involves histodifferentiation (differentiating cells into ameloblasts and odontoblasts) and morphodifferentiation (determining the size and shape of the eventual tooth crown).","Pediatric Dentistry ｜ Tooth Development and Eruption ｜ INBDE, ADAT","00:10:25"
"What is the '2-3 rule' regarding tooth eruption and root development?","Teeth normally erupt when 2/3 of their roots have developed, and it takes approximately 2 to 3 more years after eruption for the root development to be completed.","Pediatric Dentistry ｜ Tooth Development and Eruption ｜ INBDE, ADAT","00:28:57"
"What is the difference between staging and grading in the new periodontal classification system?","Staging is a static measurement of disease severity and complexity at presentation, while grading is a dynamic measurement indicating the rate of disease progression and risk.","Periodontics ｜ New Classification System ｜ INBDE, ADAT","00:07:25"
"What are the four main categories of disease processes in the 2018 AAP classification?","The categories are periodontal health and gingival diseases, periodontitis, peri-implant diseases and conditions, and periodontal manifestations of systemic diseases.","Periodontics ｜ New Classification System ｜ INBDE, ADAT","00:01:41"
"What defines a reduced periodontium in the context of periodontal health?","A reduced periodontium has pre-existing loss of periodontal tissue but is not currently undergoing active loss of bone or connective tissue.","Periodontics ｜ New Classification System ｜ INBDE, ADAT","00:03:13"
"Which immune cells are considered the first line of defense in periodontal disease?","Neutrophils are the first line of defense and the most important cells involved in controlling bacterial challenge.","Periodontics ｜ Pathogenesis ｜ INBDE, ADAT","00:01:17"
"What is the role of MMP8 in periodontal tissue destruction?","MMP8, or neutrophil collagenase, is the most important proteinase involved in the destruction of collagen in periodontal tissues.","Periodontics ｜ Pathogenesis ｜ INBDE, ADAT","00:02:30"
"What characterizes the initial lesion stage of gingivitis?","The initial lesion occurs within 2 to 4 days and is characterized by neutrophil infiltration as the body's first response.","Periodontics ｜ Pathogenesis ｜ INBDE, ADAT","00:08:41"
"What is the primary difference between a free gingival graft and a connective tissue graft?","A free gingival graft is used to widen the band of keratinized tissue, while a connective tissue graft is primarily used for root coverage.","Periodontics ｜ Surgical Therapy ｜ INBDE, ADAT","00:16:57"
"How do ostectomy and osteotomy differ in periodontal surgery?","Ostectomy involves the removal of supporting alveolar bone that is in direct contact with the tooth, while osteotomy is the removal of non-supporting bone.","Periodontics ｜ Surgical Therapy ｜ INBDE, ADAT","00:22:13"
"What are the three essential components used in periodontal regeneration?","The three components are a barrier membrane, a bone graft, and a biologic agent.","Periodontics ｜ Surgical Therapy ｜ INBDE, ADAT","00:27:15"
"How is the ideal interocclusal rest space for complete dentures calculated?","It is the difference between the Vertical Dimension of Rest (VDR) and the Vertical Dimension of Occlusion (VDO), ideally ranging from 2 to 4 millimeters.","Prosthodontics ｜ Complete Dentures - Vertical Dimension & Determinants ｜ INBDE, ADAT","00:04:22"
"What are the symptoms of an excessive Vertical Dimension of Occlusion (VDO)?","Symptoms include muscles of mastication fatigue, clicking of posterior teeth when speaking, and a strained appearance of the lips.","Prosthodontics ｜ Complete Dentures - Vertical Dimension & Determinants ｜ INBDE, ADAT","00:05:17"
"What is Christensen's Phenomenon in prosthodontics?","It refers to the distal space created between upper and lower occlusal surfaces when the mandible is protruded due to the downward and forward movement of the condyles.","Prosthodontics ｜ Complete Dentures - Vertical Dimension & Determinants ｜ INBDE, ADAT","00:10:26"
"What is the chemical difference between mined gypsum and dental gypsum products?","Mined gypsum is calcium sulfate dihydrate, which is heated during manufacturing to become calcium sulfate hemihydrate, the form used in dental products.","Prosthodontics ｜ Gypsum Materials ｜ INBDE, ADAT","00:00:27"
"Which type of dental gypsum is known for having high strength and low expansion?","Type IV gypsum, often called improved dental stone, is characterized by high strength and low expansion.","Prosthodontics ｜ Gypsum Materials ｜ INBDE, ADAT","00:01:23"
"How does the water-to-powder ratio affect the properties of gypsum?","A higher water-to-powder ratio (thinner mix) increases setting time and porosity but decreases the strength and expansion of the material.","Prosthodontics ｜ Gypsum Materials ｜ INBDE, ADAT","00:03:26"
"How does Kennedy Class I differ from Kennedy Class II in partial denture classification?","Kennedy Class I involves a bilateral distal extension (missing teeth on both sides), whereas Kennedy Class II is a unilateral distal extension (missing teeth on one side).","Prosthodontics ｜ Kennedy Classification ｜ INBDE, ADAT","00:00:54"
"What is Applegate's Rule #5 regarding Kennedy classification?","Rule #5 states that the most posterior edentulous area always determines the Kennedy classification.","Prosthodontics ｜ Kennedy Classification ｜ INBDE, ADAT","00:04:59"
"How are additional edentulous spaces classified in the Kennedy system?","Any edentulous spaces beyond the one that determines the primary classification are referred to as modifications.","Prosthodontics ｜ Kennedy Classification ｜ INBDE, ADAT","00:06:04"
"What is the clinical definition of Centric Relation (CR)?","CR is the position where the condyles articulate with the thinnest avascular portion of their discs in the most anterior-superior position against the articular eminences.","Prosthodontics ｜ Occlusion & Articulators ｜ INBDE, ADAT","00:04:01"
"What are the three main types of articulators used in dentistry?","The three types are non-adjustable (hinge), semi-adjustable (allows Bennet angle and HCI settings), and fully adjustable (most complex, using a pantograph).","Prosthodontics ｜ Occlusion & Articulators ｜ INBDE, ADAT","00:20:51"
"What is the primary purpose of a face bow record?","The face bow transfers the relationship between the maxillary arch and the skull (and the rotational center of the TMJs) from the patient to the articulator.","Prosthodontics ｜ Occlusion & Articulators ｜ INBDE, ADAT","00:16:57"
"Which pontic design offers the best aesthetics for anterior teeth but requires minor surgery?","The ovate pontic provides superior aesthetics by appearing to emerge from the gingiva, though it requires creating a divot in the soft tissue.","Prosthodontics ｜ Pontic & Connector Design ｜ INBDE, ADAT","00:01:23"
"When is a non-rigid connector design indicated for a dental bridge?","It is indicated when it is impossible to obtain a common path of insertion between the abutment teeth, allowing the bridge to be seated in two steps.","Prosthodontics ｜ Pontic & Connector Design ｜ INBDE, ADAT","00:07:04"
"What are the primary components of a dental bridge?","The components include the abutment (supporting tooth), retainer (crown on the abutment), pontic (fake tooth), and connector (joint between retainer and pontic).","Prosthodontics ｜ Pontic & Connector Design ｜ INBDE, ADAT","00:00:16"
"How is 'learning' defined in the context of behavioral psychology?","Learning is defined as a relatively permanent change in behavior that occurs due to an experience.","PSY101 - Conditioning and Learning","00:00:42"
"What is the fundamental difference between classical and operant conditioning?","Classical conditioning is based on antecedents and reflexes (learning by association), while operant conditioning is based on consequences and chosen behaviors.","PSY101 - Conditioning and Learning","00:04:14"
"In operant conditioning, what is the effect of reinforcement on behavior?","Reinforcement, whether positive or negative, always results in an increase in the frequency or response of a behavior.","PSY101 - Conditioning and Learning","00:02:44"
"Why is presenter confidence important for the audience's experience?","When a presenter feels confident, the audience feels more comfortable, which creates a conducive environment for persuasion and effective communication.","Tips for Your Presentation Skills｜Essay Writing and Presentation skills Eng406 Lecture 23","00:16:45"
"What are the two 'poles' of communication required for an effective presentation?","Effective presentations rely on both verbal communication (voice, words, language) and nonverbal communication (hand movements, facial expressions, eye contact).","Tips for Your Presentation Skills｜Essay Writing and Presentation skills Eng406 Lecture 23","00:02:50"
"What key elements should be included in the agenda of a presentation skills lecture?","The agenda should cover delivery techniques, content relevance for the audience, presentation design, handling Q&A, and the effective use of humor.","Tips for Your Presentation Skills｜Essay Writing and Presentation skills Eng406 Lecture 23","00:06:04"
